Host,IP
,
[switch0],162.210.90.1
[switch1],162.210.90.2
shibboleth,162.210.90.3
atlas,162.210.90.4
admin,162.210.90.5
theia,162.210.90.6
cs-net,162.210.90.7
dhcp,162.210.90.8
ldap,162.210.90.9
,162.210.90.10
,162.210.90.11
,162.210.90.12
,162.210.90.13
[switch2],162.210.90.14
[Broadcast],162.210.90.15
,
[Router],162.210.90.17
thing1,162.210.90.18
thing2,162.210.90.19
thing3,162.210.90.20
thing4,162.210.90.21
thing5,162.210.90.22
thing6,162.210.90.23
thing7,162.210.90.24
phi0,162.210.90.25
phi1,162.210.90.26
gpu,162.210.90.27
virtual20,162.210.90.28
k8s-endpoint,162.210.90.29
c-kubed HA?,162.210.90.30
[Broadcast],162.210.90.31
,
[Router],162.210.90.33
stogit,162.210.90.34
r,162.210.90.35
csinparallel,162.210.90.36
athena,162.210.90.37
mirror,162.210.90.38
csinparallel-old,162.210.90.39
mist,162.210.90.40
csinteractive,162.210.90.41
pitracker,162.210.90.42
pirunner,162.210.90.43
csticket,162.210.90.44
,162.210.90.45
,162.210.90.46
[Broadcast],162.210.90.47
,
[Router],162.210.90.49
hipercic3-devel,162.210.90.50
hipercic-proxy,162.210.90.51
hipercic,162.210.90.52
hipercic-devel,162.210.90.53
hipercic-devel2,162.210.90.54
hipercic-media,162.210.90.55
hipercic-test,162.210.90.56
hipercic3,162.210.90.57
hipercic-extended*,162.210.90.58
hipercic-dokku,162.210.90.59
,162.210.90.60
,162.210.90.61
,162.210.90.62
[Broadcast],162.210.90.63
,
[Router],162.210.90.65
archaeology,162.210.90.66
theater,162.210.90.67
sto-security,162.210.90.68
referee,162.210.90.69
hpc,162.210.90.70
ISE,162.210.90.71
c-pdc,162.210.90.72
cpdc-headnode,162.210.90.73
ldap-dummy,162.210.90.74
stoc-machine,162.210.90.75
mca-node-js,162.210.90.76
rserver-clone,162.210.90.77
pdc-cluster-1-1,162.210.90.78
pdc-cluster-1-2,162.210.90.79
pdc-cluster-1-3,162.210.90.80
pdc-cluster-1-4,162.210.90.81
pdc-cluster-1-5,162.210.90.82
pdc-cluster-2-1,162.210.90.83
